No,Buy/Sell,Condition,Brand,Model,Type,Color,Year,Sentence
1,buy,brandnew,toyota,corolla,car,black,2008,I want to buy brandnew toyota corolla black car which made in 2008
2,buy,brandnew,bmw,x1,suv,white,2007,I want to buy brandnew bmw x1 white suv which made in 2007
3,buy,recondition,benz,c200,car,green,2008,I want to buy used benz c200 green car which made in 2008
4,buy,brandnew,audi,a1,car,ash,2007,I buy brandnew audi a1 ash car which made in 2007
5,sell,brandnew,bmw,x3,suv,black,2007,I want to sell brandnew bmw x3 black suv which made in 2007
6,buy,recondition,bmw,x2,suv,red,2007,I want to buy used bmw x2 red suv which made in 2007
7,sell,recondition,toyota,allion,car,white,2007,I sell used toyota allion white car which made in 2007
8,sell,brandnew,benz,c180,car,ash,2008,I want to sell new benz c180 ash car which made in 2008
9,buy,brandnew,bmw,x1,suv,white,2007,I want to buy brandnew bmw x1 white suv which made in 2007
10,buy,brandnew,audi,a3,car,black,2007,I buy brandnew audi a3 black car which made in 2007
11,buy,brandnew,toyota,yaris,car,red,2008,I want to buy brandnew toyota yaris red car which made in 2008
12,sell,brandnew,audi,a1,car,green,2007,I want to sell brandnew audi a1 green car which made in 2007
13,buy,recondition,benz,c180,car,black,2008,I want to buy used benz c180 black car which made in 2008
14,buy,brandnew,benz,c200,car,white,2007,I want to buy new benz c200 white car which made in 2007
15,buy,recondition,audi,a3,car,green,2008,I want to buy used audi a3 green car which made in 2008
16,sell,recondition,toyota,corolla,car,red,2008,I sell used toyota corolla red car which made in 2008
17,buy,brandnew,benz,c180,car,ash,2008,Ibuy brandnew benz c180 ash car which made in 2008
18,sell,brandnew,bmw,x3,suv,black,2008,I want to sell new bmw x3 black suv which made in 2008
19,buy,recondition,audi,a3,car,white,2007,I want to buy used audi a3 white car which made in 2007
20,sell,brandnew,toyota,yaris,car,red,2008,I want to sell brandnew toyota yaris red car which made in 2008
